Problem ID,Category
703,Problem Solving Paradigms
735,Problem Solving Paradigms
10102,Problem Solving Paradigms
10502,Problem Solving Paradigms
10662,Problem Solving Paradigms
10908,Problem Solving Paradigms
11059,Problem Solving Paradigms
11975,Problem Solving Paradigms
12498,Problem Solving Paradigms
12515,Problem Solving Paradigms
253,Problem Solving Paradigms
296,Problem Solving Paradigms
386,Problem Solving Paradigms
10125,Problem Solving Paradigms
10177,Problem Solving Paradigms
10360,Problem Solving Paradigms
10365,Problem Solving Paradigms
10483,Problem Solving Paradigms
10660,Problem Solving Paradigms
10973,Problem Solving Paradigms
11108,Problem Solving Paradigms
11236,Problem Solving Paradigms
11342,Problem Solving Paradigms
11548,Problem Solving Paradigms
11565,Problem Solving Paradigms
11804,Problem Solving Paradigms
11959,Problem Solving Paradigms
140,Problem Solving Paradigms
234,Problem Solving Paradigms
435,Problem Solving Paradigms
639,Problem Solving Paradigms
1047,Problem Solving Paradigms
1064,Problem Solving Paradigms
11205,Problem Solving Paradigms
11412,Problem Solving Paradigms
11553,Problem Solving Paradigms
11742,Problem Solving Paradigms
12249,Problem Solving Paradigms
12346,Problem Solving Paradigms
12348,Problem Solving Paradigms
12406,Problem Solving Paradigms
12455,Problem Solving Paradigms
167,Problem Solving Paradigms
380,Problem Solving Paradigms
539,Problem Solving Paradigms
624,Problem Solving Paradigms
628,Problem Solving Paradigms
677,Problem Solving Paradigms
729,Problem Solving Paradigms
750,Problem Solving Paradigms
10276,Problem Solving Paradigms
10344,Problem Solving Paradigms
10452,Problem Solving Paradigms
10576,Problem Solving Paradigms
11085,Problem Solving Paradigms
222,Problem Solving Paradigms
301,Problem Solving Paradigms
331,Problem Solving Paradigms
487,Problem Solving Paradigms
524,Problem Solving Paradigms
571,Problem Solving Paradigms
574,Problem Solving Paradigms
598,Problem Solving Paradigms
775,Problem Solving Paradigms
10001,Problem Solving Paradigms
10063,Problem Solving Paradigms
10460,Problem Solving Paradigms
10475,Problem Solving Paradigms
10503,Problem Solving Paradigms
10506,Problem Solving Paradigms
10950,Problem Solving Paradigms
11201,Problem Solving Paradigms
11961,Problem Solving Paradigms
129,Problem Solving Paradigms
165,Problem Solving Paradigms
193,Problem Solving Paradigms
208,Problem Solving Paradigms
416,Problem Solving Paradigms
433,Problem Solving Paradigms
565,Problem Solving Paradigms
861,Problem Solving Paradigms
868,Problem Solving Paradigms
1262,Problem Solving Paradigms
10094,Problem Solving Paradigms
10128,Problem Solving Paradigms
10582,Problem Solving Paradigms
11090,Problem Solving Paradigms
679,Problem Solving Paradigms
957,Problem Solving Paradigms
10077,Problem Solving Paradigms
10474,Problem Solving Paradigms
10567,Problem Solving Paradigms
10611,Problem Solving Paradigms
10706,Problem Solving Paradigms
10742,Problem Solving Paradigms
11057,Problem Solving Paradigms
11621,Problem Solving Paradigms
11701,Problem Solving Paradigms
11876,Problem Solving Paradigms
12192,Problem Solving Paradigms
10341,Problem Solving Paradigms
11413,Problem Solving Paradigms
11881,Problem Solving Paradigms
11935,Problem Solving Paradigms
12032,Problem Solving Paradigms
12190,Problem Solving Paradigms
183,Problem Solving Paradigms
507,Problem Solving Paradigms
787,Problem Solving Paradigms
10684,Problem Solving Paradigms
10755,Problem Solving Paradigms
836,Problem Solving Paradigms
983,Problem Solving Paradigms
10074,Problem Solving Paradigms
10667,Problem Solving Paradigms
10827,Problem Solving Paradigms
11951,Problem Solving Paradigms
111,Problem Solving Paradigms
231,Problem Solving Paradigms
437,Problem Solving Paradigms
481,Problem Solving Paradigms
497,Problem Solving Paradigms
1196,Problem Solving Paradigms
10131,Problem Solving Paradigms
10534,Problem Solving Paradigms
11368,Problem Solving Paradigms
11456,Problem Solving Paradigms
11790,Problem Solving Paradigms
562,Problem Solving Paradigms
990,Problem Solving Paradigms
1213,Problem Solving Paradigms
10130,Problem Solving Paradigms
10261,Problem Solving Paradigms
10616,Problem Solving Paradigms
10664,Problem Solving Paradigms
10819,Problem Solving Paradigms
11003,Problem Solving Paradigms
11341,Problem Solving Paradigms
11566,Problem Solving Paradigms
11658,Problem Solving Paradigms
147,Problem Solving Paradigms
166,Problem Solving Paradigms
357,Problem Solving Paradigms
674,Problem Solving Paradigms
10306,Problem Solving Paradigms
10313,Problem Solving Paradigms
11137,Problem Solving Paradigms
11517,Problem Solving Paradigms
216,Problem Solving Paradigms
10496,Problem Solving Paradigms
11284,Problem Solving Paradigms
116,Problem Solving Paradigms
196,Problem Solving Paradigms
1261,Problem Solving Paradigms
10003,Problem Solving Paradigms
10036,Problem Solving Paradigms
10086,Problem Solving Paradigms
10337,Problem Solving Paradigms
10400,Problem Solving Paradigms
10446,Problem Solving Paradigms
10465,Problem Solving Paradigms
10520,Problem Solving Paradigms
10688,Problem Solving Paradigms
10721,Problem Solving Paradigms
10910,Problem Solving Paradigms
10912,Problem Solving Paradigms
10943,Problem Solving Paradigms
10980,Problem Solving Paradigms
11026,Problem Solving Paradigms
11407,Problem Solving Paradigms
11420,Problem Solving Paradigms
11450,Problem Solving Paradigms
11703,Problem Solving Paradigms
410,Problem Solving Paradigms
1193,Problem Solving Paradigms
10020,Problem Solving Paradigms
10382,Problem Solving Paradigms
11264,Problem Solving Paradigms
11389,Problem Solving Paradigms
12321,Problem Solving Paradigms
12405,Problem Solving Paradigms
10026,Problem Solving Paradigms
10037,Problem Solving Paradigms
10249,Problem Solving Paradigms
10670,Problem Solving Paradigms
10763,Problem Solving Paradigms
10785,Problem Solving Paradigms
11100,Problem Solving Paradigms
11103,Problem Solving Paradigms
11269,Problem Solving Paradigms
11292,Problem Solving Paradigms
11369,Problem Solving Paradigms
11729,Problem Solving Paradigms
11900,Problem Solving Paradigms
12210,Problem Solving Paradigms
12485,Problem Solving Paradigms
311,Problem Solving Paradigms
668,Problem Solving Paradigms
10152,Problem Solving Paradigms
10340,Problem Solving Paradigms
10440,Problem Solving Paradigms
10602,Problem Solving Paradigms
10656,Problem Solving Paradigms
10672,Problem Solving Paradigms
10700,Problem Solving Paradigms
10714,Problem Solving Paradigms
10718,Problem Solving Paradigms
10982,Problem Solving Paradigms
11054,Problem Solving Paradigms
11157,Problem Solving Paradigms
11230,Problem Solving Paradigms
11240,Problem Solving Paradigms
11335,Problem Solving Paradigms
11520,Problem Solving Paradigms
11532,Problem Solving Paradigms
11567,Problem Solving Paradigms
12482,Problem Solving Paradigms
118,Graph
168,Graph
280,Graph
318,Graph
614,Graph
824,Graph
10113,Graph
10116,Graph
10377,Graph
10687,Graph
11831,Graph
11902,Graph
11906,Graph
12376,Graph
12442,Graph
12582,Graph
260,Graph
352,Graph
459,Graph
469,Graph
572,Graph
657,Graph
722,Graph
758,Graph
776,Graph
782,Graph
784,Graph
785,Graph
852,Graph
871,Graph
1103,Graph
10336,Graph
10707,Graph
10946,Graph
11094,Graph
11110,Graph
11244,Graph
11470,Graph
11518,Graph
11561,Graph
11749,Graph
11953,Graph
124,Graph
200,Graph
872,Graph
10305,Graph
11060,Graph
11686,Graph
10004,Graph
10505,Graph
11080,Graph
11396,Graph
315,Graph
610,Graph
796,Graph
10199,Graph
10765,Graph
247,Graph
1229,Graph
10731,Graph
11504,Graph
11709,Graph
11770,Graph
11838,Graph
341,Graph
423,Graph
567,Graph
821,Graph
1233,Graph
1247,Graph
10171,Graph
10354,Graph
10525,Graph
10724,Graph
10793,Graph
10803,Graph
10947,Graph
11015,Graph
11463,Graph
12319,Graph
104,Graph
125,Graph
186,Graph
274,Graph
436,Graph
334,Graph
869,Graph
925,Graph
1056,Graph
1198,Graph
11047,Graph
103,Graph
452,Graph
10000,Graph
10051,Graph
10259,Graph
10285,Graph
10350,Graph
825,Graph
926,Graph
986,Graph
988,Graph
10401,Graph
10926,Graph
11067,Graph
11655,Graph
11957,Graph
590,Graph
907,Graph
910,Graph
10201,Graph
10543,Graph
10681,Graph
10702,Graph
10874,Graph
10913,Graph
11307,Graph
11487,Graph
11545,Graph
11782,Graph
908,Graph
1174,Graph
1208,Graph
1235,Graph
10034,Graph
11228,Graph
11631,Graph
11710,Graph
11733,Graph
11747,Graph
11857,Graph
534,Graph
544,Graph
1160,Graph
1216,Graph
1234,Graph
10048,Graph
10099,Graph
10147,Graph
10369,Graph
10397,Graph
10462,Graph
10600,Graph
10842,Graph
336,Graph
383,Graph
388,Graph
429,Graph
627,Graph
762,Graph
924,Graph
1148,Graph
10009,Graph
10422,Graph
10610,Graph
10653,Graph
10959,Graph
314,Graph
532,Graph
859,Graph
949,Graph
10044,Graph
10067,Graph
10150,Graph
10977,Graph
11049,Graph
11101,Graph
11352,Graph
11624,Graph
11792,Graph
12160,Graph
929,Graph
1112,Graph
10389,Graph
10986,Graph
1202,Graph
10166,Graph
10187,Graph
10278,Graph
10356,Graph
10603,Graph
10801,Graph
10967,Graph
11338,Graph
11367,Graph
11377,Graph
11492,Graph
11833,Graph
12047,Graph
12144,Graph
558,Graph
10449,Graph
10557,Graph
11280,Graph
259,Graph
820,Graph
10092,Graph
10511,Graph
10779,Graph
11045,Graph
11167,Graph
11418,Graph
10330,Graph
10480,Graph
11380,Graph
11506,Graph
12125,Graph
112,Graph
115,Graph
122,Graph
536,Graph
548,Graph
615,Graph
699,Graph
712,Graph
839,Graph
10308,Graph
10459,Graph
10701,Graph
10805,Graph
11131,Graph
11234,Graph
11615,Graph
11695,Graph
12186,Graph
12347,Graph
117,Graph
291,Graph
10054,Graph
10129,Graph
10203,Graph
10596,Graph
663,Graph
670,Graph
753,Graph
1194,Graph
10080,Graph
10349,Graph
11138,Graph
11159,Graph
11419,Graph
12083,Graph
12168,Graph
10055,Mathematics
10071,Mathematics
10281,Mathematics
10469,Mathematics
10773,Mathematics
11614,Mathematics
11723,Mathematics
11805,Mathematics
11875,Mathematics
12149,Mathematics
12502,Mathematics
100,Mathematics
371,Mathematics
382,Mathematics
834,Mathematics
906,Mathematics
1225,Mathematics
10035,Mathematics
10346,Mathematics
10370,Mathematics
10783,Mathematics
10879,Mathematics
11150,Mathematics
11247,Mathematics
11313,Mathematics
11689,Mathematics
11877,Mathematics
11934,Mathematics
12290,Mathematics
12527,Mathematics
493,Mathematics
550,Mathematics
616,Mathematics
697,Mathematics
846,Mathematics
10025,Mathematics
10257,Mathematics
10624,Mathematics
11130,Mathematics
11254,Mathematics
11968,Mathematics
10014,Mathematics
10170,Mathematics
10499,Mathematics
10696,Mathematics
10751,Mathematics
10940,Mathematics
11202,Mathematics
12004,Mathematics
12027,Mathematics
651,Mathematics
913,Mathematics
10161,Mathematics
10493,Mathematics
10509,Mathematics
10666,Mathematics
10693,Mathematics
10710,Mathematics
10882,Mathematics
10970,Mathematics
10994,Mathematics
11231,Mathematics
11246,Mathematics
11296,Mathematics
11298,Mathematics
11387,Mathematics
11393,Mathematics
264,Mathematics
808,Mathematics
880,Mathematics
10182,Mathematics
10233,Mathematics
10620,Mathematics
10642,Mathematics
10964,Mathematics
136,Mathematics
138,Mathematics
413,Mathematics
443,Mathematics
640,Mathematics
694,Mathematics
962,Mathematics
974,Mathematics
10006,Mathematics
10042,Mathematics
10049,Mathematics
10101,Mathematics
10408,Mathematics
10930,Mathematics
11028,Mathematics
11063,Mathematics
11461,Mathematics
11660,Mathematics
11970,Mathematics
107,Mathematics
113,Mathematics
474,Mathematics
545,Mathematics
701,Mathematics
1185,Mathematics
10916,Mathematics
11384,Mathematics
11556,Mathematics
11636,Mathematics
11666,Mathematics
11714,Mathematics
11847,Mathematics
11986,Mathematics
12416,Mathematics
126,Mathematics
392,Mathematics
498,Mathematics
10215,Mathematics
10268,Mathematics
10302,Mathematics
10326,Mathematics
10586,Mathematics
10719,Mathematics
11692,Mathematics
377,Mathematics
575,Mathematics
636,Mathematics
10093,Mathematics
10677,Mathematics
10931,Mathematics
11005,Mathematics
11121,Mathematics
11398,Mathematics
12602,Mathematics
276,Mathematics
496,Mathematics
613,Mathematics
10137,Mathematics
10190,Mathematics
11055,Mathematics
11241,Mathematics
11526,Mathematics
11715,Mathematics
11816,Mathematics
12036,Mathematics
542,Mathematics
10056,Mathematics
10218,Mathematics
10238,Mathematics
10328,Mathematics
10491,Mathematics
10759,Mathematics
10777,Mathematics
11021,Mathematics
11176,Mathematics
11181,Mathematics
11346,Mathematics
11500,Mathematics
11628,Mathematics
12024,Mathematics
12114,Mathematics
12457,Mathematics
12461,Mathematics
202,Mathematics
275,Mathematics
350,Mathematics
944,Mathematics
10162,Mathematics
10515,Mathematics
10591,Mathematics
11036,Mathematics
11053,Mathematics
11549,Mathematics
11634,Mathematics
12464,Mathematics
847,Mathematics
10111,Mathematics
10165,Mathematics
10368,Mathematics
10404,Mathematics
10578,Mathematics
11311,Mathematics
11489,Mathematics
12293,Mathematics
12469,Mathematics
424,Mathematics
465,Mathematics
619,Mathematics
713,Mathematics
748,Mathematics
1226,Mathematics
10013,Mathematics
10083,Mathematics
10106,Mathematics
10198,Mathematics
10430,Mathematics
10433,Mathematics
10494,Mathematics
10519,Mathematics
10523,Mathematics
10669,Mathematics
10925,Mathematics
10992,Mathematics
11448,Mathematics
11664,Mathematics
11830,Mathematics
11879,Mathematics
12143,Mathematics
12459,Mathematics
290,Mathematics
343,Mathematics
355,Mathematics
389,Mathematics
446,Mathematics
10473,Mathematics
10551,Mathematics
11185,Mathematics
11952,Mathematics
960,Mathematics
1210,Mathematics
10235,Mathematics
10924,Mathematics
11287,Mathematics
12542,Mathematics
1230,Mathematics
10023,Mathematics
10193,Mathematics
10464,Mathematics
10814,Mathematics
11821,Mathematics
495,Mathematics
580,Mathematics
763,Mathematics
900,Mathematics
948,Mathematics
1258,Mathematics
10183,Mathematics
10334,Mathematics
10450,Mathematics
10497,Mathematics
10579,Mathematics
10689,Mathematics
10862,Mathematics
11000,Mathematics
11089,Mathematics
11161,Mathematics
11780,Mathematics
326,Mathematics
369,Mathematics
485,Mathematics
530,Mathematics
911,Mathematics
10105,Mathematics
10219,Mathematics
10375,Mathematics
10532,Mathematics
10541,Mathematics
11955,Mathematics
991,Mathematics
10007,Mathematics
10223,Mathematics
10303,Mathematics
10312,Mathematics
10643,Mathematics
11115,Mathematics
11310,Mathematics
11401,Mathematics
11480,Mathematics
11597,Mathematics
11609,Mathematics
12463,Mathematics
1224,Mathematics
10079,Mathematics
10359,Mathematics
10733,Mathematics
10784,Mathematics
10790,Mathematics
10918,Mathematics
11069,Mathematics
11204,Mathematics
11270,Mathematics
11538,Mathematics
11554,Mathematics
12022,Mathematics
406,Mathematics
543,Mathematics
686,Mathematics
897,Mathematics
914,Mathematics
10140,Mathematics
10168,Mathematics
10311,Mathematics
10394,Mathematics
10490,Mathematics
10650,Mathematics
10852,Mathematics
10948,Mathematics
11752,Mathematics
106,Mathematics
332,Mathematics
408,Mathematics
412,Mathematics
10407,Mathematics
10892,Mathematics
11388,Mathematics
11417,Mathematics
11774,Mathematics
11827,Mathematics
12068,Mathematics
324,Mathematics
568,Mathematics
623,Mathematics
10220,Mathematics
10323,Mathematics
10338,Mathematics
516,Mathematics
583,Mathematics
10392,Mathematics
11466,Mathematics
160,Mathematics
993,Mathematics
10061,Mathematics
10139,Mathematics
10484,Mathematics
10527,Mathematics
10622,Mathematics
10680,Mathematics
10780,Mathematics
10791,Mathematics
11347,Mathematics
11395,Mathematics
11889,Mathematics
294,Mathematics
884,Mathematics
1246,Mathematics
10179,Mathematics
10299,Mathematics
10820,Mathematics
10958,Mathematics
11064,Mathematics
11086,Mathematics
11226,Mathematics
11353,Mathematics
11728,Mathematics
12005,Mathematics
10699,Mathematics
10738,Mathematics
10990,Mathematics
11327,Mathematics
12043,Mathematics
128,Mathematics
374,Mathematics
10127,Mathematics
10174,Mathematics
10176,Mathematics
10212,Mathematics
10489,Mathematics
11029,Mathematics
10090,Mathematics
10104,Mathematics
10633,Mathematics
10673,Mathematics
547,Mathematics
756,Mathematics
10110,Mathematics
10922,Mathematics
11042,Mathematics
11344,Mathematics
11371,Mathematics
245,String Processing
306,String Processing
444,String Processing
458,String Processing
483,String Processing
492,String Processing
641,String Processing
739,String Processing
795,String Processing
865,String Processing
10019,String Processing
10222,String Processing
10851,String Processing
10878,String Processing
10896,String Processing
10921,String Processing
11220,String Processing
11278,String Processing
11541,String Processing
11716,String Processing
11787,String Processing
11946,String Processing
213,String Processing
468,String Processing
554,String Processing
632,String Processing
726,String Processing
740,String Processing
741,String Processing
850,String Processing
856,String Processing
11385,String Processing
11697,String Processing
499,String Processing
895,String Processing
902,String Processing
10008,String Processing
10062,String Processing
10252,String Processing
10293,String Processing
10374,String Processing
10420,String Processing
10625,String Processing
10789,String Processing
11203,String Processing
11577,String Processing
271,String Processing
327,String Processing
391,String Processing
397,String Processing
442,String Processing
486,String Processing
537,String Processing
1200,String Processing
10906,String Processing
11148,String Processing
11357,String Processing
11878,String Processing
12543,String Processing
384,String Processing
464,String Processing
620,String Processing
622,String Processing
743,String Processing
10854,String Processing
11070,String Processing
11291,String Processing
325,String Processing
494,String Processing
576,String Processing
10058,String Processing
719,String Processing
760,String Processing
1223,String Processing
1254,String Processing
11107,String Processing
11512,String Processing
110,String Processing
159,String Processing
320,String Processing
330,String Processing
338,String Processing
373,String Processing
426,String Processing
445,String Processing
488,String Processing
490,String Processing
570,String Processing
645,String Processing
890,String Processing
1219,String Processing
10333,String Processing
10500,String Processing
10761,String Processing
10800,String Processing
10875,String Processing
10894,String Processing
11074,String Processing
11482,String Processing
11965,String Processing
12155,String Processing
12364,String Processing
409,String Processing
644,String Processing
671,String Processing
912,String Processing
11048,String Processing
11056,String Processing
11233,String Processing
11713,String Processing
11734,String Processing
153,String Processing
263,String Processing
892,String Processing
941,String Processing
1215,String Processing
1239,String Processing
10115,String Processing
10126,String Processing
10197,String Processing
10361,String Processing
10391,String Processing
10393,String Processing
10508,String Processing
10679,String Processing
11452,String Processing
11483,String Processing
11839,String Processing
11962,String Processing
12243,String Processing
12414,String Processing
455,String Processing
886,String Processing
10298,String Processing
11362,String Processing
11475,String Processing
11576,String Processing
11888,String Processing
12467,String Processing
422,String Processing
604,String Processing
736,String Processing
10010,String Processing
11283,String Processing
164,String Processing
526,String Processing
531,String Processing
1207,String Processing
10066,String Processing
10100,String Processing
10192,String Processing
10405,String Processing
10635,String Processing
10739,String Processing
257,String Processing
10453,String Processing
10617,String Processing
11022,String Processing
11151,String Processing
11258,String Processing
11552,String Processing
152,(Computational) Geometry
191,(Computational) Geometry
378,(Computational) Geometry
587,(Computational) Geometry
833,(Computational) Geometry
837,(Computational) Geometry
920,(Computational) Geometry
1249,(Computational) Geometry
10242,(Computational) Geometry
10250,(Computational) Geometry
10263,(Computational) Geometry
10357,(Computational) Geometry
10466,(Computational) Geometry
10585,(Computational) Geometry
10832,(Computational) Geometry
10865,(Computational) Geometry
10902,(Computational) Geometry
10927,(Computational) Geometry
11068,(Computational) Geometry
11343,(Computational) Geometry
11505,(Computational) Geometry
11519,(Computational) Geometry
11894,(Computational) Geometry
121,(Computational) Geometry
143,(Computational) Geometry
190,(Computational) Geometry
375,(Computational) Geometry
438,(Computational) Geometry
10195,(Computational) Geometry
10210,(Computational) Geometry
10286,(Computational) Geometry
10347,(Computational) Geometry
10387,(Computational) Geometry
10522,(Computational) Geometry
10577,(Computational) Geometry
10792,(Computational) Geometry
10991,(Computational) Geometry
11152,(Computational) Geometry
11164,(Computational) Geometry
11281,(Computational) Geometry
11326,(Computational) Geometry
11437,(Computational) Geometry
11479,(Computational) Geometry
11579,(Computational) Geometry
11854,(Computational) Geometry
11909,(Computational) Geometry
11936,(Computational) Geometry
1388,(Computational) Geometry
10005,(Computational) Geometry
10136,(Computational) Geometry
10180,(Computational) Geometry
10209,(Computational) Geometry
10221,(Computational) Geometry
10283,(Computational) Geometry
10432,(Computational) Geometry
10451,(Computational) Geometry
10573,(Computational) Geometry
10589,(Computational) Geometry
10678,(Computational) Geometry
12578,(Computational) Geometry
155,(Computational) Geometry
460,(Computational) Geometry
476,(Computational) Geometry
477,(Computational) Geometry
11207,(Computational) Geometry
11345,(Computational) Geometry
11455,(Computational) Geometry
11639,(Computational) Geometry
11800,(Computational) Geometry
11834,(Computational) Geometry
12256,(Computational) Geometry
737,(Computational) Geometry
815,(Computational) Geometry
10297,(Computational) Geometry
109,(Computational) Geometry
137,(Computational) Geometry
218,(Computational) Geometry
361,(Computational) Geometry
478,(Computational) Geometry
596,(Computational) Geometry
634,(Computational) Geometry
681,(Computational) Geometry
858,(Computational) Geometry
1111,(Computational) Geometry
1206,(Computational) Geometry
10002,(Computational) Geometry
10060,(Computational) Geometry
10065,(Computational) Geometry
10112,(Computational) Geometry
10406,(Computational) Geometry
10652,(Computational) Geometry
11096,(Computational) Geometry
11265,(Computational) Geometry
11447,(Computational) Geometry
11473,(Computational) Geometry
11626,(Computational) Geometry
